voxel_ID x y z sigma_vM epsilon_V^0.0(F)_vM
366 1 6 14 1.147546e+08 1.222460e-01
367 1 6 15 9.639358e+07 7.139116e-02
368 1 7 0 1.145868e+08 9.192919e-02
369 1 7 1 1.104487e+08 1.030077e-01
370 1 7 2 1.154905e+08 1.036012e-01
371 1 7 3 1.234876e+08 1.190611e-01
372 1 7 4 7.711666e+07 1.837147e-01
373 1 7 5 8.541660e+07 1.297914e-01
374 1 7 6 8.022859e+07 1.296163e-01
375 1 7 7 1.120445e+08 1.025325e-01
376 1 7 8 1.378442e+08 1.511158e-01
377 1 7 9 1.431262e+08 1.735666e-01
378 1 7 10 1.182620e+08 1.048649e-01
379 1 7 11 1.152996e+08 5.991643e-02
380 1 7 12 1.110821e+08 5.120725e-02
381 1 7 13 1.231888e+08 7.537674e-02
382 1 7 14 1.172204e+08 7.633154e-02
383 1 7 15 1.194117e+08 8.363780e-02
384 1 8 0 1.130617e+08 9.617059e-02
385 1 8 1 1.194684e+08 8.984037e-02
386 1 8 2 1.178852e+08 1.079535e-01
387 1 8 3 1.264752e+08 1.132387e-01
388 1 8 4 8.559734e+07 1.682641e-01
389 1 8 5 9.933834e+07 1.763253e-01
390 1 8 6 7.881656e+07 8.304044e-02
391 1 8 7 1.118807e+08 1.037562e-01
392 1 8 8 1.216225e+08 1.219858e-01
393 1 8 9 1.424619e+08 1.350666e-01
394 1 8 10 1.298568e+08 1.264732e-01
395 1 8 11 1.171030e+08 7.949158e-02
396 1 8 12 1.189437e+08 9.337313e-02
397 1 8 13 1.120479e+08 5.457842e-02
398 1 8 14 1.238906e+08 8.158912e-02
399 1 8 15 1.142969e+08 8.929629e-02
400 1 9 0 1.183477e+08 1.216458e-01
401 1 9 1 1.133313e+08 6.360712e-02
402 1 9 2 1.177118e+08 7.297988e-02
403 1 9 3 8.286880e+07 1.483440e-01
404 1 9 4 9.430233e+07 1.356618e-01
405 1 9 5 1.025939e+08 1.536070e-01
406 1 9 6 1.001076e+08 1.594730e-01
407 1 9 7 1.144152e+08 1.203519e-01
408 1 9 8 1.168911e+08 1.029993e-01
409 1 9 9 1.110056e+08 7.112109e-02
410 1 9 10 1.182454e+08 8.721767e-02
411 1 9 11 1.197109e+08 9.267641e-02
412 1 9 12 1.113986e+08 6.771326e-02
413 1 9 13 1.253382e+08 8.093418e-02
414 1 9 14 1.250850e+08 8.649454e-02
415 1 9 15 1.121208e+08 7.915118e-02
416 1 10 0 1.076467e+08 7.235855e-02
417 1 10 1 1.108806e+08 1.089621e-01
418 1 10 2 1.106219e+08 9.262550e-02
419 1 10 3 1.117671e+08 8.833343e-02
420 1 10 4 8.120217e+07 1.202461e-01
421 1 10 5 9.696182e+07 1.394629e-01
422 1 10 6 9.247228e+07 1.831974e-01
423 1 10 7 1.063294e+08 1.236369e-01
424 1 10 8 1.060154e+08 1.014412e-01
425 1 10 9 1.138995e+08 1.074635e-01
426 1 10 10 1.070229e+08 7.958648e-02
427 1 10 11 1.187585e+08 1.057720e-01
428 1 10 12 1.294382e+08 1.104608e-01
429 1 10 13 1.173085e+08 5.822377e-02
430 1 10 14 1.214287e+08 7.501259e-02
431 1 10 15 1.198462e+08 1.151726e-01
432 1 11 0 9.895680e+07 1.587959e-01
433 1 11 1 9.249411e+07 7.647651e-02
434 1 11 2 1.052556e+08 1.032204e-01
435 1 11 3 1.063120e+08 1.063810e-01
436 1 11 4 9.199949e+07 9.929490e-02
437 1 11 5 7.906920e+07 1.470647e-01
438 1 11 6 9.154757e+07 1.981206e-01
439 1 11 7 8.494866e+07 1.609746e-01
440 1 11 8 9.229858e+07 7.304433e-02
441 1 11 9 1.041480e+08 8.855392e-02
442 1 11 10 1.002107e+08 1.153404e-01
443 1 11 11 1.254803e+08 1.521624e-01
444 1 11 12 7.350336e+07 1.067237e-01
445 1 11 13 1.124795e+08 9.502187e-02
446 1 11 14 1.041240e+08 1.740408e-02
447 1 11 15 1.007874e+08 3.259139e-02
448 1 12 0 1.149279e+08 5.937030e-02
449 1 12 1 1.129629e+08 1.676885e-01
450 1 12 2 1.098935e+08 1.125667e-01
451 1 12 3 8.874763e+07 8.062904e-02
452 1 12 4 8.063571e+07 1.096230e-01
453 1 12 5 9.080283e+07 1.345357e-01
454 1 12 6 8.521405e+07 1.688476e-01
455 1 12 7 8.394736e+07 1.361184e-01
456 1 12 8 8.995085e+07 1.164009e-01
457 1 12 9 1.031577e+08 9.637319e-02
458 1 12 10 1.015188e+08 1.473838e-01
459 1 12 11 1.049046e+08 1.615146e-01
460 1 12 12 1.152266e+08 9.772521e-02
461 1 12 13 1.197191e+08 5.100087e-02
462 1 12 14 1.039663e+08 2.318480e-02
463 1 12 15 1.115648e+08 2.185044e-02
464 1 13 0 1.026088e+08 3.972556e-02
465 1 13 1 1.329181e+08 6.238313e-02
466 1 13 2 1.180608e+08 1.440507e-01
467 1 13 3 7.563663e+07 1.291813e-01
468 1 13 4 9.753437e+07 8.988677e-02
469 1 13 5 9.994964e+07 1.411671e-01
470 1 13 6 8.271300e+07 1.783019e-01
471 1 13 7 9.271602e+07 1.206689e-01
472 1 13 8 9.783607e+07 1.179733e-01
473 1 13 9 9.288391e+07 1.584566e-01
474 1 13 10 9.046114e+07 1.668093e-01
475 1 13 11 1.034515e+08 1.146212e-01
476 1 13 12 1.030991e+08 5.631826e-02
477 1 13 13 1.031680e+08 7.137482e-02
478 1 13 14 1.253973e+08 7.888913e-02
479 1 13 15 1.172426e+08 5.136223e-02
480 1 14 0 1.165116e+08 5.264272e-02
481 1 14 1 1.034079e+08 3.834504e-02
482 1 14 2 8.233945e+07 1.320712e-01
483 1 14 3 6.514026e+07 9.776967e-02
484 1 14 4 7.425392e+07 8.815425e-02
485 1 14 5 7.244078e+07 1.518241e-01
486 1 14 6 9.670465e+07 1.581069e-01
487 1 14 7 1.274951e+08 1.373009e-01
488 1 14 8 8.509359e+07 1.438999e-01
489 1 14 9 1.077258e+08 1.655306e-01
490 1 14 10 9.815670e+07 1.194634e-01
491 1 14 11 1.177752e+08 9.646947e-02
492 1 14 12 1.108551e+08 9.458238e-02
493 1 14 13 1.186266e+08 9.048656e-02
494 1 14 14 1.268784e+08 8.497556e-02
495 1 14 15 1.161019e+08 5.717258e-02
496 1 15 0 1.168650e+08 4.883769e-02
497 1 15 1 1.050380e+08 4.130661e-02
498 1 15 2 6.667077e+07 6.307944e-02
499 1 15 3 7.933081e+07 8.485672e-02
500 1 15 4 7.735518e+07 1.348648e-01
501 1 15 5 9.393256e+07 1.590599e-01
502 1 15 6 1.263288e+08 1.631906e-01
503 1 15 7 1.147074e+08 1.292651e-01
504 1 15 8 1.252858e+08 1.462102e-01
505 1 15 9 1.116301e+08 1.438343e-01
506 1 15 10 1.039384e+08 9.193525e-02
507 1 15 11 1.207545e+08 8.816360e-02
508 1 15 12 1.177656e+08 8.450037e-02
509 1 15 13 1.154163e+08 6.484732e-02
510 1 15 14 7.770306e+07 1.122532e-01
511 1 15 15 8.030730e+07 1.368591e-01
512 2 0 0 1.384989e+08 7.848805e-02
513 2 0 1 1.182978e+08 7.027501e-02
514 2 0 2 1.099791e+08 5.743934e-02
515 2 0 3 1.147334e+08 1.401332e-01
516 2 0 4 1.492584e+08 1.464635e-01
517 2 0 5 1.234861e+08 1.284816e-01
518 2 0 6 1.251841e+08 1.242907e-01
519 2 0 7 1.034228e+08 1.174692e-01
520 2 0 8 1.202371e+08 1.221622e-01
521 2 0 9 1.082321e+08 1.458160e-01
522 2 0 10 1.199618e+08 8.487277e-02
523 2 0 11 1.129323e+08 7.758733e-02
524 2 0 12 9.252231e+07 8.248182e-02
525 2 0 13 8.561865e+07 1.080705e-01
526 2 0 14 9.254041e+07 1.235953e-01
527 2 0 15 8.539558e+07 7.149484e-02
528 2 1 0 8.692339e+07 1.070764e-01
529 2 1 1 1.269024e+08 5.695570e-02
530 2 1 2 1.129223e+08 7.435063e-02
531 2 1 3 1.082964e+08 1.114760e-01
532 2 1 4 8.697593e+07 1.490060e-01
533 2 1 5 8.972081e+07 1.320349e-01
534 2 1 6 1.155019e+08 1.243547e-01
535 2 1 7 1.152254e+08 1.486487e-01
536 2 1 8 8.341090e+07 1.596130e-01
537 2 1 9 8.329233e+07 1.365609e-01
538 2 1 10 7.145577e+07 1.077715e-01
539 2 1 11 7.685995e+07 7.192880e-02
540 2 1 12 6.809507e+07 6.410895e-02
541 2 1 13 9.266167e+07 1.257896e-01
542 2 1 14 9.950017e+07 1.082915e-01
543 2 1 15 9.143732e+07 9.863388e-02
544 2 2 0 9.803083e+07 9.329516e-02
545 2 2 1 9.750733e+07 7.148768e-02
546 2 2 2 9.556730e+07 1.042416e-01
547 2 2 3 1.067178e+08 7.592651e-02
548 2 2 4 1.046120e+08 1.137307e-01
549 2 2 5 1.239245e+08 1.561925e-01
550 2 2 6 9.113806e+07 1.211787e-01
551 2 2 7 1.018511e+08 1.114989e-01
552 2 2 8 8.649536e+07 1.447668e-01
553 2 2 9 8.097358e+07 1.570511e-01
554 2 2 10 7.386969e+07 1.243884e-01
555 2 2 11 9.519518e+07 1.220474e-01
556 2 2 12 8.218309e+07 9.550095e-02
557 2 2 13 7.557074e+07 8.792729e-02
558 2 2 14 9.152541e+07 1.040938e-01
559 2 2 15 9.937091e+07 1.039924e-01
560 2 3 0 8.331898e+07 9.238348e-02
561 2 3 1 9.999035e+07 8.128743e-02
562 2 3 2 1.236415e+08 1.026455e-01
563 2 3 3 1.143683e+08 1.024955e-01
564 2 3 4 9.976533e+07 8.791090e-02
565 2 3 5 1.074320e+08 9.689755e-02
566 2 3 6 1.132342e+08 9.270834e-02
567 2 3 7 1.131327e+08 1.427679e-01
568 2 3 8 9.874137e+07 1.383613e-01
569 2 3 9 8.542367e+07 1.588229e-01
570 2 3 10 7.688735e+07 1.183918e-01
571 2 3 11 7.648848e+07 1.672835e-01
572 2 3 12 1.007285e+08 1.260707e-01
573 2 3 13 8.404411e+07 5.842490e-02
574 2 3 14 8.115096e+07 1.143875e-01
575 2 3 15 8.083782e+07 8.544888e-02
576 2 4 0 9.571717e+07 8.473514e-02
577 2 4 1 1.165031e+08 1.051784e-01
578 2 4 2 1.011718e+08 9.104192e-02
